seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,element,LocalLabel,LocalDocumentation,
1,1,Class,,Phone,,,,0..*,Phone number information.,gl-bus,,【電話番号】,主要電話番号情報。,
2,2,Attribute,,Phone,Description,xbrli:tokenItemType,,0..1,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",gl-bus,,電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",
3,2,Attribute,,Phone,Number,xbrli:stringItemType,,0..1,Phone number referred to in Phone Number Description'\.,gl-bus,,電話番号,電話番号用途で示される電話番号。,
4,1,Class,,Fax,,,,0..*,Fax number information.,gl-bus,,【FAX番号】,FAX番号情報。,
5,2,Attribute,,Fax,Usage,xbrli:stringItemType,,0..1,"Fax number usage (e.g. orders, head office, IR)",gl-bus,,FAX番号用途,FAX番号の用途。(注文、本社、IRなど),
6,2,Attribute,,Fax,Number,xbrli:stringItemType,,0..1,Fax Number,gl-bus,,FAX番号,FAX番号。,
7,1,Abstract Class,,URI,,,,0..*,URI address information.,gl-bus,,【URI】,URIアドレス情報。,
8,2,Attribute,,URI,Descrption,xbrli:stringItemType,,0..1,"URI address usage (e.g. orders, head office, IR)",gl-bus,,URIアドレス用途,URIアドレスの用途。(注文、本社、IRなど),
9,2,Attribute,,URI,Address,xbrli:stringItemType,,0..1,URI Address,gl-bus,,URIアドレス,URIアドレス。,
10,1,Class,,Email,,,,0..*,Email address information.,gl-bus,,【Eメールアドレス】,Eメールアドレス情報。,
11,2,Specialization,,Email,,,URI,1,,gl-bus,,,,
12,1,Class,,Web Site,,,,0..*,Web site information.,gl-bus,,【Webサイト】,ウェブサイト情報。,
13,2,Specialization,,Web Site,,,URI,1,,gl-bus,,,,
14,1,Abstract Class,,Activity,,,,0..*,Activity in assounting or ERP system.,gl-cor,,【活動】,会計システムまたはERPシステムにおける活動,
15,2,Attribute,,Activity,Date Time,xbrli:dateTimeItemType,,1,Date and time of activity,gl-cor,,日時,実行日時,
16,2,Reference Association,,Activity,,,User,1,System user performing the activity,gl-cor,,システムユーザー,操作ユーザー,
17,1,Class,,Entered,,,,0..*,Data entry activity record,gl-cor,,【入力活動】,データ入力活動の記録,
18,2,Specialization,,Entered,,,Activity,1,,gl-cor,,,,
19,1,Class,,Approved,,,,0..*,Data entry approval activity record,gl-cor,,【承認活動】,データ入力承認活動の記録,
20,2,Specialization,,Approved,,,Activity,1,,gl-cor,,,,
21,1,Class,,Last Modified,,,,0..*,Last modification activity record,gl-cor,,【最新更新活動】,最新の更新履歴,
22,2,Specialization,,Last Modified,,,Activity,1,,gl-cor,,,,
23,1,Class,,Address,,,,0..*,Structure which contains address information.,gl-bus,,【住所】,住所情報。,
24,2,Attribute,,Address,Name,xbrli:stringItemType,,0..1,Address Name,gl-bus,,住所名,住所の名前。,
25,2,Attribute,,Address,Description,xbrli:stringItemType,,0..1,Address Description,gl-bus,,住所説明,住所の説明。,
26,2,Attribute,,Address,Purpose,xbrli:stringItemType,,0..1,Address Purpose,gl-bus,,住所目的,住所の目的。,
27,2,Attribute,,Address,Location Identifier,xbrli:stringItemType,,0..1,A code used to identify the location and to associate it with contacts and transactions,gl-bus,,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,
28,2,Attribute,,Address,Building Number,xbrli:stringItemType,,0..1,Building Number,gl-bus,,住所建物番号,建物番号。,
29,2,Attribute,,Address,Street,xbrli:stringItemType,,0..1,Street address,gl-bus,,住所通り,住所の通り。,
30,2,Attribute,,Address,Street2,xbrli:stringItemType,,0..1,Address Detail,gl-bus,,住所詳細,住所詳細。,
31,2,Attribute,,Address,City,xbrli:stringItemType,,0..1,City,gl-bus,,住所都市,住所の都市。,
32,2,Attribute,,Address,State or Province,xbrli:stringItemType,,0..1,"State, province or region",gl-bus,,住所州,住所の州や地方。,
33,2,Attribute,,Address,Country,xbrli:stringItemType,,0..1,Country,gl-bus,,住所国,住所の国。,
34,2,Attribute,,Address,Zip or Postal Code,xbrli:stringItemType,,0..1,Zip or other postal code,gl-bus,,住所郵便番号,住所の郵便番号。,
35,2,Attribute,,Address,Active Indicator,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",gl-bus,,住所有効性,住所が有効か無効かを示すブール値。,
36,1,Class,,Document Information,,,,1..1,Parent for descriptive information about the accountingEntries Structure in which it is contained.,gl-cor,,【文書情報】,この会計仕訳に関する情報の親タグ。,
37,2,Attribute,PK,Document Information,Audit Number,xbrli:stringItemType,,0..1,Unique identifier for this file.,gl-cor,,監査番号,このファイルの一意識別子。,
38,2,Attribute,,Document Information,Document Type,xbrli:tokenItemType,,1..1,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,,文書種別,"・科目:科目体系ファイルの情報。 ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。 ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。 ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。 ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。 ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。 ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。 ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。 ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。 [設定値のリスト] (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他)",
39,2,Attribute,,Document Information,Revises Audit Number,xbrli:stringItemType,,0..1,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,
40,2,Attribute,,Document Information,Action to Take with Previous Data,xbrli:tokenItemType,,0..1,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)",
41,2,Attribute,,Document Information,Language,xbrli:QNameItemType,,0..1,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,
42,2,Attribute,,Document Information,Creation Date,xbrli:dateTimeItemType,,0..1,Date/time file was created.,gl-cor,,作成日付,ファイルが作成された日付/時間。,
43,2,Attribute,,Document Information,Creator,xbrli:stringItemType,,0..1,Identifies the creator of the XBRL instance.,gl-bus,,作成者,ファイルの作成者の識別子。,
44,2,Attribute,,Document Information,Document Comment,xbrli:stringItemType,,0..1,Text for entire document.,gl-cor,,文書コメント,文書全体に対する説明文。,
45,2,Attribute,,Document Information,Period Covered Start,xbrli:dateTimeItemType,,0..1,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,
46,2,Attribute,,Document Information,Period Covered End,xbrli:dateTimeItemType,,0..1,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,
47,2,Attribute,,Document Information,Period Count,xbrli:decimalItemType,,0..1,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-bus,,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,
48,2,Attribute,,Document Information,Period Unit,xbrli:tokenItemType,,0..1,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",gl-bus,,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",
49,2,Attribute,,Document Information,Period Unit Description,xbrli:stringItemType,,0..1,Free format description of the period unit,gl-bus,,期間単位説明,対象期間単位の説明。,
50,2,Attribute,,Document Information,Source Application,xbrli:stringItemType,,0..1,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-bus,,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,
51,2,Attribute,,Document Information,Target Application,xbrli:stringItemType,,0..1,Particular use for which file was generated.,gl-bus,,対象アプリケーション,ファイルが作成された用途。,
52,2,Attribute,,Document Information,Default Currency,xbrli:QNameItemType,,0..1,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",gl-muc,,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,
53,2,Composition,,Document Information,,,Summary Reporting Taxonomy,0..*,,gl-srcd,,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,
54,1,Class,,Identifiers,,,,0..*,Structure which contains various identifiers for the company.,gl-bus,,【識別子】,組織に関する様々な識別子を含むセクション。,
55,2,Attribute,PK,Identifiers,Organization Identifier,xbrli:stringItemType,,0..1,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",gl-bus,,事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,
56,2,Attribute,,Identifiers,Organization Description,xbrli:stringItemType,,0..1,Text for organization identified by organizationIdentifier. Any descriptive information about the code.,gl-bus,,事業体説明,organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。,
57,1,Abstract Class,,Person,,,,0..*,Information about a person.,gl-bus,,【人物情報】,人物に関する情報。,
58,2,Attribute,PK,Person,ID,xbrli:tokenItemType,,1,A unique and persistent identifier used to distinguish a person within the system.,gl-bus,,識別番号,システム内で個人を識別するための一意かつ永続的な識別子。,
59,2,Attribute,,Person,Prefix,xbrli:stringItemType,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",gl-bus,,敬称,敬称(Dr.、Mr.、Mrs.など),
60,2,Attribute,,Person,Last Name,xbrli:stringItemType,,0..1,Last or family name,gl-bus,,姓,姓,
61,2,Attribute,,Person,First Name,xbrli:stringItemType,,0..1,First or given name,gl-bus,,名,名、クリスチャンネーム,
62,2,Attribute,,Person,Suffix,xbrli:stringItemType,,0..1,"Suffix (e.g. MD, CPA, Jr.)",gl-bus,,付加名称,付加名称(MD、CPA、Jr.など),
63,2,Attribute,,Person,Attention Line,xbrli:stringItemType,,0..1,Attention Line,gl-bus,,アテンションライン,アテンションライン,
64,2,Attribute,,Person,Position Role,xbrli:stringItemType,,0..1,Position or role,gl-bus,,地位/役職,地位や役職。,
65,2,Attribute,,Person,Role of Contact,xbrli:stringItemType,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-bus,,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,
66,2,Attribute,,Person,Location ID cross reference,xbrli:stringItemType,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-bus,,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,
67,2,Attribute,,Person,Contact Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",gl-bus,,担当者有効性,担当者が有効か無効かを示すブール値。,
68,2,Composition,,Person,,,Phone,0..*,,gl-bus,,【担当者電話番号】,担当者の電話番号。,
69,2,Composition,,Person,,,Fax,0..*,,gl-bus,,【担当者FAX番号】,担当者のFAX番号の構造体。,
70,2,Composition,,Person,,,Email,0..*,,gl-bus,,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,
71,1,Class,,Contact,,,,0..*,Information about contacts.,gl-bus,,【担当者情報】,担当者に関する情報。,
72,2,Specialization,,Contact,,,Person,1,,gl-cor,,,,
73,1,Class,,User,,,,0..*,Information about contacts.,gl-bus,,【システム利用者情報】,システムの利用者に関する情報。,
74,2,Specialization,,User,,,Person,1,,gl-cor,,,,
75,1,Class,,Accounting Method,,,,0..*,Structure for identifying the methods of accounting used by the entity for different reporting purposes,gl-bus,,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,
76,2,Attribute,,Accounting Method,Method,xbrli:tokenItemType,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-bus,,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)",
77,2,Attribute,,Accounting Method,Description,xbrli:stringItemType,,0..1,Free format description of the accounting method,gl-bus,,会計処理方法説明,会計処理方法の説明。,
78,2,Attribute,,Accounting Method,Purpose,xbrli:tokenItemType,,0..1,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",gl-bus,,会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",
79,2,Attribute,,Accounting Method,Purpose Description,xbrli:stringItemType,,0..1,Free format description of the accounting method purpose,gl-bus,,会計処理方法目的説明,会計処理方法の目的の説明。,
80,2,Attribute,,Accounting Method,Start Date,xbrli:dateTimeItemType,,0..1,Accounting Method Start Date,gl-bus,,会計処理方法開始日付,会計処理方法の開始日。,
81,2,Attribute,,Accounting Method,End Date,xbrli:dateTimeItemType,,0..1,Accounting Method End Date,gl-bus,,会計処理方法終了日付,会計処理方法の終了日。,
82,1,Class,,Accountant,,,,0..*,Information about the relevant external accountant,gl-bus,,【会計事務所情報】,関連する外部会計事務所に関する情報。,
83,2,Attribute,,Accountant,Accountant Name,xbrli:stringItemType,,0..1,Name of the accountant,gl-bus,,会計事務所名,会計事務所の名前。,
84,2,Attribute,,Accountant,Type of Engagement,xbrli:tokenItemType,,0..1,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",gl-bus,,契約種別,"外部会計事務所によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)",
85,2,Attribute,,Accountant,Type of Engagement Description,xbrli:stringItemType,,0..1,Free format description of the type of engagement,gl-bus,,契約種別説明,契約種別の説明。,
86,2,Composition,,Accountant,,,Address,0..*,,gl-bus,,【会計事務所住所】,会計事務所の住所情報を含むセクション。,
87,2,Composition,,Accountant,,,Contact,0..*,,gl-bus,,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。,
88,1,Class,,Reporting Calendar Period,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,gl-bus,,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,
89,2,Attribute,PK,Reporting Calendar Period,Reporting Identifier,xbrli:stringItemType,,0..1,An identifier for this period in this calendar,gl-bus,,報告期間識別子,このカレンダーにおけるこの期間の識別子。,
90,2,Attribute,,Reporting Calendar Period,Description,xbrli:stringItemType,,0..1,A description of this specific reporting period in this calendar.,gl-bus,,期間説明,このカレンダーにおけるこの特定の期間の説明。,
91,2,Attribute,,Reporting Calendar Period,Start Date,xbrli:dateTimeItemType,,0..1,The beginning date/time of a period,gl-bus,,期間開始日付,期間の開始日付/時刻,
92,2,Attribute,,Reporting Calendar Period,End Date,xbrli:dateTimeItemType,,0..1,The ending date/time of a period,gl-bus,,期間終了日付,期間の終了日付/時刻,
93,2,Attribute,,Reporting Calendar Period,Closed Date,xbrli:dateTimeItemType,,0..1,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",gl-bus,,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",
94,1,Class,,Reporting Calendar,,,,0..*,A tool to collect the periods used to summarise results from transactions.,gl-bus,,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,
95,2,Attribute,PK,Reporting Calendar,Code,xbrli:stringItemType,,0..1,"The code used to identify this specific reporting calendar, unique across periods",gl-bus,,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,
96,2,Attribute,,Reporting Calendar,Description,xbrli:stringItemType,,0..1,A description of the reporting calendar (associated with the reportingCalendarCode given),gl-bus,,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,
97,2,Attribute,,Reporting Calendar,Title,xbrli:stringItemType,,0..1,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,gl-bus,,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,
